id,sqft_living,price
3980300371,290,142000.0
2856101479,370,276000.0
1723049033,380,245000.0
1222029077,384,265000.0
6896300380,390,228000.0
9266700190,390,245000.0
6303400395,410,325000.0
4322200105,420,229050.0
7549801385,420,280000.0
8658300340,430,80000.0
3523029041,440,290000.0
1352300580,460,247000.0
1320069249,470,192500.0
8655900162,470,156000.0
7849202585,480,170000.0
745000005,480,145000.0
1437500015,490,150000.0
859000110,500,125000.0
7588700177,520,310000.0
1623049041,520,82500.0
2420069251,520,262000.0
1773101530,520,275000.0
4391600065,520,330000.0
3702900165,520,295000.0
1172000150,530,238000.0
203100460,530,400000.0
1925069006,530,355000.0
126039305,540,345000.0
2767603026,540,425000.0
623049232,550,115000.0
2922703235,550,290000.0
6003000851,550,353000.0
6453300055,550,188000.0
2114700500,560,90000.0
7325600160,560,299000.0
4364700165,560,249900.0
7211402105,560,106000.0
3223039010,570,260000.0
2461900845,570,310000.0
1721801591,570,89950.0
461002551,580,330600.0
4364700805,580,315000.0
7129800036,580,109000.0
1423049019,580,90000.0
1423049019,580,220000.0
6840700165,590,202000.0
3812400202,590,156000.0
4067600255,590,398000.0
7129304375,590,202000.0
7655900031,590,240000.0
5702500050,600,280000.0
179000100,600,174000.0
3361400980,600,135000.0
3163600015,600,156000.0
1773100765,600,229000.0
2354300456,600,130000.0
3361401011,600,110000.0
1352300990,610,126000.0
7818700480,610,314200.0
7625702615,610,400000.0
7625703637,610,286000.0
123039336,620,244900.0
1446401190,620,175000.0
1022049182,620,175000.0
8132700185,620,425000.0
1900000035,620,212000.0
8150100240,620,265000.0
9834201205,620,385000.0
8150100265,620,255000.0
7663700531,620,325000.0
3364900156,620,382888.0
123039336,620,148000.0
2768301490,620,402000.0
8807900236,630,430000.0
66000070,630,315000.0
2114700615,630,148000.0
1180003090,630,190000.0
6638900550,630,396000.0
9232400055,640,279200.0
7625700020,640,340000.0
2877101340,640,426000.0
123039279,640,165000.0
2853600155,640,110000.0
2722059292,650,129000.0
6150200435,650,230000.0
9828701295,650,295000.0
1446401550,660,225000.0
7950302150,660,385000.0
6146600170,660,100000.0
418000010,660,227450.0
7891600260,660,175000.0
1596600060,660,250000.0
7454001075,670,240000.0
6911700066,670,175000.0
5381000082,670,185000.0
8122100835,670,183000.0
3644100073,670,245000.0
7454000555,670,272000.0
7454001060,670,295000.0
3644100072,670,245000.0
1972201161,670,435000.0
2113701200,670,250000.0
2124049254,670,235000.0
9269200520,670,310000.0
7899800450,670,107000.0
1545807810,670,118000.0
7454000110,670,202000.0
1023059108,670,390000.0
3980300020,670,340000.0
2391602350,670,334000.0
7454000990,670,304950.0
3421079032,670,75000.0
5249802424,670,415000.0
7454000605,670,279000.0
7883600700,670,157500.0
3145600250,670,190000.0
8820903370,670,348000.0
2919201385,680,275000.0
5379802181,680,193000.0
2915200210,680,500000.0
9524100196,680,239000.0
5101404170,680,200000.0
133000070,680,179900.0
2856100185,680,365000.0
9126101201,680,365000.0
1250200345,680,230000.0
913000340,680,252000.0
369000365,680,510000.0
739000035,680,291970.0
2123049114,680,110700.0
5075400035,690,280000.0
5550300205,690,338000.0
7227500910,690,139000.0
9524100207,690,245000.0
203100435,690,484000.0
1735800050,690,142500.0
7950304065,690,260000.0
7934000090,690,340000.0
7625701935,700,330000.0
6668900005,700,266000.0
7518505040,700,415000.0
418000310,700,155000.0
3797001920,700,310000.0
421000215,700,208000.0
3352402250,700,119900.0
9325800005,700,247500.0
1523049188,700,84000.0
7571200110,700,328000.0
6150700180,700,282150.0
7231600098,700,225000.0
9828200460,700,430000.0
6132600221,700,367000.0
1822059057,700,152000.0
5100403636,700,400000.0
886000090,700,395000.0
6135300010,700,248000.0
418000330,700,199950.0
8820903560,700,380000.0
421000500,700,209995.0
4438400020,700,192000.0
7920100045,700,350000.0
421000185,700,200000.0
408100150,700,267800.0
6430500191,700,315000.0
1926049141,700,403500.0
6668900010,700,254950.0
5269200050,700,175000.0
9828701650,700,399000.0
9828200460,700,260000.0
402000260,700,190000.0
3626039229,700,340000.0
3410600015,700,250000.0
418000415,700,191000.0
7891600165,700,295000.0
7454000875,710,299000.0
7454000585,710,289000.0
8018600980,710,187250.0
8127700845,710,375000.0
8122101146,710,320000.0
7454000295,710,245000.0
7452500190,710,345000.0
1231001090,710,362362.0
3298700305,710,271000.0
4337600005,710,153000.0
4337600205,710,129888.0
3326079016,710,190000.0
7899800915,710,216000.0
1930301540,710,390000.0
2025049028,710,403950.0
2025049114,710,402000.0
4438400050,710,239000.0
9828701745,710,480000.0
7950304095,710,257500.0
2025049203,710,399950.0
7689600630,710,216500.0
